clx,pred_sr,prob
5,tata,0.0004
5,dggtt,0.0004
5,gadaa,0.0004
5,gtddk,0.0004
5,agad,0.0004
5,kakgk,0.0004
5,ddtdt,0.0004
5,gakdt,0.0004
5,katta,0.0004
5,ggkdk,0.0004
5,dkaak,0.0004
5,gakda,0.0004
5,dtkda,0.0004
5,tgttk,0.0004
5,aggtk,0.0004
5,ggakt,0.0004
5,ttttt,0.0004
5,kaakk,0.0004
5,kata,0.0004
5,gdttk,0.0004
5,dgttk,0.0004
5,agak,0.0004
5,tktt,0.0004
5,atkgt,0.0004
5,gggtt,0.0004
5,attda,0.0004
5,gtatt,0.0004
5,ddd,0.0004
5,dgagt,0.0004
5,tkaaa,0.0004
5,gkdtk,0.0004
5,agadk,0.0004
5,kttda,0.0004
5,gtgda,0.0004
5,gaak,0.0004
5,dgdka,0.0004
5,kdgga,0.0004
5,tddda,0.0004
5,gtatk,0.0004
5,ggatt,0.0004
5,aaaka,0.0004
5,takda,0.0004
5,dkga,0.0004
5,gtdtt,0.0004
5,tgtt,0.0004
5,gkttk,0.0004
5,kktt,0.0004
5,gkaga,0.0004
5,tdatt,0.0004
5,gkadk,0.0004
5,dkdta,0.0004
5,aktt,0.0004
5,tgkaa,0.0004
5,kkggt,0.0004
5,gtgga,0.0004
5,dgtgk,0.0004
5,aaggt,0.0004
5,kggdk,0.0004
5,tkggt,0.0004
5,tkda,0.0004
5,kddga,0.0004
5,tgdda,0.0004
5,tktak,0.0004
5,dkdka,0.0004
